mode	source	before_text	after_text	delta	same_code	status
default	examples/65816/a16.c	31	31	0	True	ok
default	examples/65816/a16abs.c	31	31	0	True	ok
default	examples/65816/a16abscmp.c	211	211	0	True	ok
default	examples/65816/a16absidx.c	19	19	0	True	ok
default	examples/65816/a16add.c	47	47	0	True	ok
default	examples/65816/a16ashift.c	38	38	0	True	ok
default	examples/65816/a16ashift8.c	242	242	0	True	ok
default	examples/65816/a16bit.c	108	108	0	True	ok
default	examples/65816/a16bitchain.c	210	210	0	True	ok
default	examples/65816/a16call.c	67	67	0	True	ok
default	examples/65816/a16chain.c	68	68	0	True	ok
default	examples/65816/a16chainimm.c	169	169	0	True	ok
default	examples/65816/a16chainld.c	88	88	0	True	ok
default	examples/65816/a16cmp.c	241	241	0	True	ok
default	examples/65816/a16cmpaudit.c	6886	6886	0	True	ok
default	examples/65816/a16cmpidx.c	592	592	0	True	ok
default	examples/65816/a16copy.c	51	51	0	True	ok
default	examples/65816/a16eq.c	115	115	0	True	ok
default	examples/65816/a16eqval.c	119	119	0	True	ok
default	examples/65816/a16eqvalc.c	169	169	0	True	ok
default	examples/65816/a16eqvalg.c	263	263	0	True	ok
default	examples/65816/a16eqvalmg.c	158	158	0	True	ok
default	examples/65816/a16eqvalp.c	187	187	0	True	ok
default	examples/65816/a16eqvalz.c	49	49	0	True	ok
default	examples/65816/a16frameidx.c	290	290	0	True	ok
default	examples/65816/a16imm.c	80	80	0	True	ok
default	examples/65816/a16incabs.c	122	122	0	True	ok
default	examples/65816/a16incdec.c	164	164	0	True	ok
default	examples/65816/a16indirdst.c	41	41	0	True	ok
default	examples/65816/a16indirectstore.c	827	827	0	True	ok
default	examples/65816/a16indiry.c	44	44	0	True	ok
default	examples/65816/a16isr.c	110	110	0	True	ok
default	examples/65816/a16loadcall.c	281	281	0	True	ok
default	examples/65816/a16loadfold.c	44	44	0	True	ok
default	examples/65816/a16local.c	44	44	0	True	ok
default	examples/65816/a16localbit.c	98	98	0	True	ok
default	examples/65816/a16localimm.c	34	34	0	True	ok
default	examples/65816/a16localsub.c	47	47	0	True	ok
default	examples/65816/a16localx.c	153	153	0	True	ok
default	examples/65816/a16loop.c	66	66	0	True	ok
default	examples/65816/a16loopred.c	48	48	0	True	ok
default	examples/65816/a16mix1.c	233	233	0	True	ok
default	examples/65816/a16mix2.c	295	295	0	True	ok
default	examples/65816/a16mixfold.c	186	186	0	True	ok
default	examples/65816/a16ptr.c	57	57	0	True	ok
default	examples/65816/a16regpress.c	172	172	0	True	ok
default	examples/65816/a16ret.c	77	77	0	True	ok
default	examples/65816/a16s32.c	1709	1709	0	True	ok
default	examples/65816/a16scavnz.c	422	422	0	True	ok
default	examples/65816/a16scmp.c	147	147	0	True	ok
default	examples/65816/a16shift.c	51	51	0	True	ok
default	examples/65816/a16spill.c	159	159	0	True	ok
default	examples/65816/a16spillr.c	291	291	0	True	ok
default	examples/65816/a16storebytes.c	651	651	0	True	ok
default	examples/65816/a16sub.c	47	47	0	True	ok
default	examples/65816/a16sunfold.c	192	192	0	True	ok
default	examples/65816/a16thread.c	201	201	0	True	ok
default	examples/65816/absdiff-probe.c	290	290	0	True	ok
default	examples/65816/asmisland-probe.c	260	260	0	True	ok
default	examples/65816/bitboard64-probe.c	4678	4678	0	True	ok
default	examples/65816/crt0native.c	25	25	0	True	ok
default	examples/65816/far-bank1.c	13	13	0	True	ok
default	examples/65816/far-deref.c	34	34	0	True	ok
