input	mode	optimization	returncode
shift64seam-narrow	default	O0	0
shift64seam-narrow	default	O1	0
shift64seam-narrow	default	O2	0
shift64seam-narrow	default	O3	0
shift64seam-narrow	default	Os	0
shift64seam-narrow	default	Oz	0
shift64seam-narrow	a16	O0	0
shift64seam-narrow	a16	O1	0
shift64seam-narrow	a16	O2	0
shift64seam-narrow	a16	O3	0
shift64seam-narrow	a16	Os	0
shift64seam-narrow	a16	Oz	0
shift64seam-narrow	xy16	O0	0
shift64seam-narrow	xy16	O1	0
shift64seam-narrow	xy16	O2	0
shift64seam-narrow	xy16	O3	0
shift64seam-narrow	xy16	Os	0
shift64seam-narrow	xy16	Oz	0
shift-runtime	default	O0	0
shift-runtime	default	O1	0
shift-runtime	default	O2	0
shift-runtime	default	O3	0
shift-runtime	default	Os	0
shift-runtime	default	Oz	0
shift-runtime	a16	O0	0
shift-runtime	a16	O1	0
shift-runtime	a16	O2	0
shift-runtime	a16	O3	0
shift-runtime	a16	Os	0
shift-runtime	a16	Oz	0
shift-runtime	xy16	O0	0
shift-runtime	xy16	O1	0
shift-runtime	xy16	O2	0
shift-runtime	xy16	O3	0
shift-runtime	xy16	Os	0
shift-runtime	xy16	Oz	0
bitboard-runtime	default	O0	0
bitboard-runtime	default	O1	0
bitboard-runtime	default	O2	0
bitboard-runtime	default	O3	0
bitboard-runtime	default	Os	0
bitboard-runtime	default	Oz	0
bitboard-runtime	a16	O0	0
bitboard-runtime	a16	O1	0
bitboard-runtime	a16	O2	0
bitboard-runtime	a16	O3	0
bitboard-runtime	a16	Os	0
bitboard-runtime	a16	Oz	0
bitboard-runtime	xy16	O0	0
bitboard-runtime	xy16	O1	0
bitboard-runtime	xy16	O2	0
bitboard-runtime	xy16	O3	0
bitboard-runtime	xy16	Os	0
bitboard-runtime	xy16	Oz	0
rcundef	default	O1	0
rcundef	default	Os	0
rcundef	a16	O1	0
rcundef	a16	Os	0
rcundef	xy16	O1	0
rcundef	xy16	Os	0
rcundef2	default	O1	0
rcundef2	default	Os	0
rcundef2	a16	O1	0
rcundef2	a16	Os	0
rcundef2	xy16	O1	0
rcundef2	xy16	Os	0
a16regpress	default	O1	0
a16regpress	default	Os	0
a16regpress	a16	O1	0
a16regpress	a16	Os	0
a16regpress	xy16	O1	0
a16regpress	xy16	Os	0
newton_sim	default	O1	0
newton_sim	default	Os	0
newton_sim	a16	O1	0
newton_sim	a16	Os	0
newton_sim	xy16	O1	0
newton_sim	xy16	Os	0
trimerge_sim	default	O1	0
trimerge_sim	default	Os	0
trimerge_sim	a16	O1	0
trimerge_sim	a16	Os	0
trimerge_sim	xy16	O1	0
trimerge_sim	xy16	Os	0
lsystem_sim	default	O1	0
lsystem_sim	default	Os	0
lsystem_sim	a16	O1	0
lsystem_sim	a16	Os	0
lsystem_sim	xy16	O1	0
lsystem_sim	xy16	Os	0
gouraud_sim	default	O1	0
gouraud_sim	default	Os	0
gouraud_sim	a16	O1	0
gouraud_sim	a16	Os	0
gouraud_sim	xy16	O1	0
gouraud_sim	xy16	Os	0
msquares_sim	default	O1	0
msquares_sim	default	Os	0
msquares_sim	a16	O1	0
msquares_sim	a16	Os	0
msquares_sim	xy16	O1	0
msquares_sim	xy16	Os	0
mandel-double_sim	default	O1	0
mandel-double_sim	default	Os	0
mandel-double_sim	a16	O1	0
mandel-double_sim	a16	Os	0
mandel-double_sim	xy16	O1	0
mandel-double_sim	xy16	Os	0
shift-onehot	default	O0	0
shift-onehot	default	O1	0
shift-onehot	default	O2	0
shift-onehot	default	O3	0
shift-onehot	default	Os	0
shift-onehot	default	Oz	0
shift-onehot	a16	O0	0
shift-onehot	a16	O1	0
shift-onehot	a16	O2	0
shift-onehot	a16	O3	0
shift-onehot	a16	Os	0
shift-onehot	a16	Oz	0
shift-onehot	xy16	O0	0
shift-onehot	xy16	O1	0
shift-onehot	xy16	O2	0
shift-onehot	xy16	O3	0
shift-onehot	xy16	Os	0
shift-onehot	xy16	Oz	0
bitboard-demo	default	O1	0
bitboard-demo	default	Os	0
bitboard-demo	a16	O1	0
bitboard-demo	a16	Os	0
bitboard-demo	xy16	O1	0
bitboard-demo	xy16	Os	0
