file,binary,rep,instructions,task_clock_ms,rc
a16.a16,prefix,1,13743822,14.63,0
a16.a16,postfix,1,13733537,14.86,0
a16.a8,prefix,1,13729031,14.87,0
a16.a8,postfix,1,13694680,15.03,0
a16abs.a16,prefix,1,13644779,15.84,0
a16abs.a16,postfix,1,13602818,14.49,0
a16abs.a8,prefix,1,13658043,16.62,0
a16abs.a8,postfix,1,13667768,14.06,0
a16abscmp.a16,prefix,1,22626411,17.75,0
a16abscmp.a16,postfix,1,22718978,18.02,0
a16abscmp.a8,prefix,1,22568099,17.80,0
a16abscmp.a8,postfix,1,22735961,18.01,0
a16absidx.a16,prefix,1,13288415,13.98,0
a16absidx.a16,postfix,1,13293232,15.64,0
a16absidx.a8,prefix,1,13250982,13.91,0
a16absidx.a8,postfix,1,13243608,14.49,0
a16add.a16,prefix,1,14099231,14.00,0
a16add.a16,postfix,1,14053290,15.90,0
a16add.a8,prefix,1,14032483,16.68,0
a16add.a8,postfix,1,14061532,15.70,0
a16ashift.a16,prefix,1,14691826,15.87,0
a16ashift.a16,postfix,1,14681047,15.12,0
a16ashift.a8,prefix,1,14675283,15.92,0
a16ashift.a8,postfix,1,14580854,14.79,0
a16ashift8.a16,prefix,1,21639601,16.97,0
a16ashift8.a16,postfix,1,21751394,18.54,0
a16ashift8.a8,prefix,1,21578891,19.56,0
a16ashift8.a8,postfix,1,21750495,19.48,0
a16bit.a16,prefix,1,15629782,15.33,0
a16bit.a16,postfix,1,15640663,14.90,0
a16bit.a8,prefix,1,15669584,15.24,0
a16bit.a8,postfix,1,15605111,15.27,0
a16bitchain.a16,prefix,1,19235793,16.97,0
a16bitchain.a16,postfix,1,19270921,16.38,0
a16bitchain.a8,prefix,1,19231985,16.61,0
a16bitchain.a8,postfix,1,19311423,17.50,0
a16call.a16,prefix,1,18471819,16.65,0
a16call.a16,postfix,1,18452859,17.38,0
a16call.a8,prefix,1,18481036,16.86,0
a16call.a8,postfix,1,18527626,18.58,0
a16chain.a16,prefix,1,14854305,15.01,0
a16chain.a16,postfix,1,14787859,15.48,0
a16chain.a8,prefix,1,14786225,14.61,0
a16chain.a8,postfix,1,14760710,14.95,0
a16chainimm.a16,prefix,1,18455930,20.89,0
a16chainimm.a16,postfix,1,18467082,16.26,0
a16chainimm.a8,prefix,1,18460087,16.98,0
a16chainimm.a8,postfix,1,18421975,15.81,0
a16chainld.a16,prefix,1,15590195,17.47,0
a16chainld.a16,postfix,1,15610123,15.29,0
a16chainld.a8,prefix,1,15565930,15.62,0
a16chainld.a8,postfix,1,15605705,17.66,0
a16cmp.a16,prefix,1,23232094,17.85,0
a16cmp.a16,postfix,1,23331552,18.41,0
a16cmp.a8,prefix,1,23200896,17.82,0
a16cmp.a8,postfix,1,23313498,18.04,0
a16cmpaudit.a16,prefix,1,672698675,187.23,0
a16cmpaudit.a16,postfix,1,683317915,182.38,0
a16cmpaudit.a8,prefix,1,673559542,183.51,0
a16cmpaudit.a8,postfix,1,683677774,183.10,0
a16cmpidx.a16,prefix,1,40263004,23.19,0
a16cmpidx.a16,postfix,1,40587169,22.48,0
a16cmpidx.a8,prefix,1,40205966,25.44,0
a16cmpidx.a8,postfix,1,40589370,23.76,0
a16copy.a16,prefix,1,14263642,15.24,0
a16copy.a16,postfix,1,14310462,16.14,0
a16copy.a8,prefix,1,14280415,18.35,0
a16copy.a8,postfix,1,14269128,15.90,0
a16eq.a16,prefix,1,18069612,19.01,0
a16eq.a16,postfix,1,18101435,17.29,0
a16eq.a8,prefix,1,18053696,16.56,0
a16eq.a8,postfix,1,18134684,18.45,0
