# opcode	mnemonic	mode	bytes  — generated by tools/gen-65816-oracle.py
# canonical 65c816 opcode matrix (CC0 GTE/WDC datasheet); audit oracle, NOT redistributed verbatim
00	BRK	s	2
01	ORA	(d,x)	2
02	COP	s	2
03	ORA	d,s	2
04	TSB	d	2
05	ORA	d	2
06	ASL	d	2
07	ORA	[d]	2
08	PHP	s	1
09	ORA	#	2
0A	ASL	A	1
0B	PHD	s	1
0C	TSB	a	3
0D	ORA	a	3
0E	ASL	a	3
0F	ORA	al	4
10	BPL	r	2
11	ORA	(d),y	2
12	ORA	(d)	2
13	ORA	(d,s),y	2
14	TRB	d	2
15	ORA	d,x	2
16	ASL	d,x	2
17	ORA	[d],y	2
18	CLC	i	1
19	ORA	a,y	3
1A	INC	A	1
1B	TCS	i	1
1C	TRB	a	3
1D	ORA	a,x	3
1E	ASL	a,x	3
1F	ORA	al,x	4
20	JSR	a	3
21	AND	(d,x)	2
22	JSL	al	4
23	AND	d,s	2
24	BIT	d	2
25	AND	d	2
26	ROL	d	2
27	AND	[d]	2
28	PLP	s	1
29	AND	#	2
2A	ROL	A	1
2B	PLD	s	1
2C	BIT	a	3
2D	AND	a	3
2E	ROL	a	3
2F	AND	al	4
30	BMI	r	2
31	AND	(d),y	2
32	AND	(d)	2
33	AND	(d,s),y	2
34	BIT	d,x	2
35	AND	d,x	2
36	ROL	d,x	2
37	AND	[d],y	2
38	SEC	i	1
39	AND	a,y	3
3A	DEC	A	1
3B	TSC	i	1
3C	BIT	a,x	3
3D	AND	a,x	3
3E	ROL	a,x	3
3F	AND	al,x	4
40	RTI	s	1
41	EOR	(d,x)	2
43	EOR	d,s	2
44	MVP	xya	3
45	EOR	d	2
46	LSR	d	2
47	EOR	[d]	2
48	PHA	s	1
49	EOR	#	2
4A	LSR	A	1
4B	PHK	s	1
4C	JMP	a	3
4D	EOR	a	3
4E	LSR	a	3
4F	EOR	al	4
50	BVC	r	2
51	EOR	(d),y	2
52	EOR	(d)	2
53	EOR	(d,s),y	2
54	MVN	xya	3
55	EOR	d,x	2
56	LSR	d,x	2
57	EOR	[d],y	2
58	CLI	i	1
59	EOR	a,y	3
5A	PHY	s	1
5B	TCD	i	1
5C	JMP	al	4
5D	EOR	a,x	3
5E	LSR	a,x	3
5F	EOR	al,x	4
60	RTS	s	1
61	ADC	(d,x)	2
62	PER	s	3
63	ADC	d,s	2
64	STZ	d	2
65	ADC	d	2
66	ROR	d	2
67	ADC	[d]	2
68	PLA	s	1
69	ADC	#	2
6A	ROR	A	1
6B	RTL	s	1
