# gcc c-torture/execute tests that do NOT build a DEFAULT SNES ROM (gcc-14.2.0).
# Generated by tools/torture_filter.py --opt -Os.
# test	reason	diagnostic
20000412-3.c	compile-error	vendor/c-torture/execute/20000412-3.c:14:10: error: call to undeclared function 'f'; ISO C99 and later do not support implicit function declarations [-Wimplicit-function-
20000717-3.c	compile-error	vendor/c-torture/execute/20000717-3.c:5:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
20000822-1.c	compile-error	vendor/c-torture/execute/20000822-1.c:15:3: error: function definition is not allowed here
20001111-1.c	compile-error	vendor/c-torture/execute/20001111-1.c:40:3: error: use of unknown builtin '__builtin_exit' [-Wimplicit-function-declaration]
20010122-1.c	link-other	mos-clang: error: ld.lld command failed with exit code 1 (use -v to see invocation)
20010209-1.c	compile-error	vendor/c-torture/execute/20010209-1.c:10:3: error: function definition is not allowed here
20010605-1.c	compile-error	vendor/c-torture/execute/20010605-1.c:6:5: error: function definition is not allowed here
20010605-2.c	compile-error	vendor/c-torture/execute/20010605-2.c:18:3: error: call to undeclared function '__torture_exit'; ISO C99 and later do not support implicit function declarations [-Wimplic
20020314-1.c	compile-error	vendor/c-torture/execute/20020314-1.c:15:7: error: call to undeclared library function 'alloca' with type 'void *(__size_t)' (aka 'void *(unsigned int)'); ISO C99 and lat
20020404-1.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
20020406-1.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
20020412-1.c	compile-error	vendor/c-torture/execute/20020412-1.c:25:10: error: fields must have a constant size: 'variable length array in structure' extension will never be supported
20020819-1.c	compile-error	vendor/c-torture/execute/20020819-1.c:3:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
20021024-1.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
20021120-3.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
20030209-1.c	compile-error	vendor/c-torture/execute/20030209-1.c:6:10: error: array is too large (100 elements)
20030222-1.c	link-other	PLEASE submit a bug report to https://github.com/llvm/llvm-project/issues/ and include the crash backtrace and instructions to reproduce the bug.
20030501-1.c	compile-error	vendor/c-torture/execute/20030501-1.c:11:7: error: function definition is not allowed here
20031012-1.c	region-overflow	ld.lld: error: section '.noinit' will not fit in region 'ram': overflowed by 7322 bytes
20031211-2.c	compile-error	vendor/c-torture/execute/20031211-2.c:13:3: error: call to undeclared function 'foo'; ISO C99 and later do not support implicit function declarations [-Wimplicit-function
20040223-1.c	compile-error	vendor/c-torture/execute/20040223-1.c:10:5: error: call to undeclared function '__torture_abort'; ISO C99 and later do not support implicit function declarations [-Wimpli
20040308-1.c	compile-error	vendor/c-torture/execute/20040308-1.c:7:9: error: fields must have a constant size: 'variable length array in structure' extension will never be supported
20040423-1.c	compile-error	vendor/c-torture/execute/20040423-1.c:8:9: error: fields must have a constant size: 'variable length array in structure' extension will never be supported
20040520-1.c	compile-error	vendor/c-torture/execute/20040520-1.c:7:9: error: function definition is not allowed here
20040629-1.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
20040703-1.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
20040705-1.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
20040705-2.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
20040709-1.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
20040709-2.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
20040709-3.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
20040811-1.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
20041019-1.c	compile-error	vendor/c-torture/execute/20041019-1.c:3:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
20041218-2.c	compile-error	vendor/c-torture/execute/20041218-2.c:5:19: error: fields must have a constant size: 'variable length array in structure' extension will never be supported
20050316-1.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
20050604-1.c	link-other	mos-clang: error: ld.lld command failed with exit code 1 (use -v to see invocation)
20060420-1.c	link-other	mos-clang: error: ld.lld command failed with exit code 1 (use -v to see invocation)
20061101-1.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
20061220-1.c	compile-error	vendor/c-torture/execute/20061220-1.c:11:3: error: function definition is not allowed here
20070201-1.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
20070919-1.c	compile-error	vendor/c-torture/execute/20070919-1.c:29:19: error: fields must have a constant size: 'variable length array in structure' extension will never be supported
20081103-1.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
20081117-1.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
20090219-1.c	compile-error	vendor/c-torture/execute/20090219-1.c:13:5: error: function definition is not allowed here
20110418-1.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
20120427-1.c	compile-error	vendor/c-torture/execute/20120427-1.c:9:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
20120427-2.c	compile-error	vendor/c-torture/execute/20120427-2.c:9:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
20120919-1.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
20121108-1.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
20140622-1.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
20140828-1.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
20141022-1.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
20141107-1.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
20141125-1.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
20170419-1.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
20180921-1.c	compile-error	vendor/c-torture/execute/20180921-1.c:62:22: error: chained comparison 'X < Y <= Z' does not behave the same as a mathematical expression [-Wparentheses]
20181120-1.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
20190820-1.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
20230630-2.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
20230630-4.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
20230802-1.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
